id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
ex037,valid,Your reason for dropping the course is valid.,reasonable,reasonable,Your reason for dropping the course is reasonable.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Positive evaluative adjective
ex039,af,This room is loud af tonight.,extremely,extremely,This room is loud extremely tonight.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Suffix-like intensifier
ex058,stood on business,He stood on business and actually filed the complaint.,followed through firmly,followed through firmly,He followed through firmly and actually filed the complaint.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex018,sus,This excuse sounds sus to me.,suspicious,suspicious,This excuse sounds suspicious to me.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Adjectival slang
ext0010,Gassed Up,I'm so gassed up for the concert.,Feeling excited or confident,Feeling excited or confident.,I'm so Feeling excited or confident for the concert.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ex010,bussin,These tacos are bussin.,very tasty,very tasty,These tacos are very tasty.,,other,demo_seed,project_manual_annotation,,high,manual_seed,Food-related usage
ex012,no cap,"No cap, that was the hardest exam I have taken.",seriously,seriously,"seriously, that was the hardest exam I have taken.",,intensifier,demo_seed,project_manual_annotation,,high,manual_seed,Discourse marker
ex016,ratioed,He got ratioed after that rude reply.,received far more criticism than support,received far more criticism than support,He received far more criticism than support after that rude reply.,,online,demo_seed,project_manual_annotation,,high,manual_seed_neutral_sentence_review,Social-media-specific event
ext0012,Lit,That party was lit.,"Exciting, fun, or excellent","Exciting, fun, or excellent.","That party was Exciting, fun, or excellent.",,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex040,rent-free,That awkward moment is living rent-free in my head.,constantly on my mind,constantly on my mind,That awkward moment is living constantly on my mind in my head.,,emotion,manual_expansion,project_manual_annotation,,high,manual_seed,Fixed expression
ext0013,Gucci,Everything's Gucci.,Good or cool,Good or cool.,Everything's Good or cool.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ext0001,Bop,That new track is a bop.,excellent song,A song that's really good.,That new track is a excellent song.,,intensifier,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,external_selected_auto,popularity=Medium
ex013,pressed,Why are you so pressed about a small comment?,upset,upset,Why are you so upset about a small comment?,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Emotion adjective
ex025,stan,I still stan that artist after all these years.,strongly support,strongly support,I still strongly support that artist after all these years.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Verb usage
ext0003,DM,I'll DM you the details.,direct message,Direct Message on social media.,I'll direct message you the details.,,online,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex032,main character,She walked into the party like the main character.,the center of attention,the center of attention,She walked into the party like the the center of attention.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ext0015,Dank,That meme is dank.,excellent,"High-quality, especially used for memes.",That meme is excellent.,,online,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex024,simp,He turned into a simp the second she texted back.,overly devoted admirer,overly devoted admirer,He turned into a overly devoted admirer the second she texted back.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex055,let him cook,"Let him cook, his argument is finally getting somewhere.",let him continue,let him continue,"let him continue, his argument is finally getting somewhere.",,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Memetic phrase
ex046,locked in,She has been locked in since finals season started.,fully focused,fully focused,She has been fully focused since finals season started.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex006,slaps,This playlist slaps from start to finish.,is excellent,is excellent,This playlist is excellent from start to finish.,,judgment,demo_seed,project_manual_annotation,,high,manual_seed,Positive assessment
ex007,down bad,Ever since the breakup he has been down bad.,emotionally desperate,emotionally desperate,Ever since the breakup he has been emotionally desperate.,,emotion,demo_seed,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex014,lowkey,I lowkey want to skip the party and stay home.,kind of,kind of,I kind of want to skip the party and stay home.,,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Adverbial hedge
ext0014,Shook,I was shook when I heard the news.,Shocked or surprised,Shocked or surprised.,I was Shocked or surprised when I heard the news.,,emotion,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex022,salty,He is still salty about getting cut from the team.,bitter,bitter,He is still bitter about getting cut from the team.,,emotion,manual_expansion,project_manual_annotation,,high,manual_seed,Emotion adjective
ex030,deadass,I deadass forgot the assignment was due tonight.,seriously,seriously,I seriously forgot the assignment was due tonight.,,intensifier,manual_expansion,project_manual_annotation,,high,manual_seed,Adverbial intensifier
ext0006,Vibes,I'm loving the vibes here.,Good energy,Good energy.,I'm loving the Good energy here.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex035,touch grass,You need to touch grass after posting all day.,go outside and reconnect with real life,go outside and reconnect with real life,You need to go outside and reconnect with real life after posting all day.,,online,manual_expansion,project_manual_annotation,,high,manual_seed_neutral_sentence_review,Imperative phrase
ex004,rizz,He has absurd rizz when he talks to strangers.,charisma,charisma,He has absurd charisma when he talks to strangers.,,dating_social,demo_seed,project_manual_annotation,,high,manual_seed,Short noun paraphrase
ex026,tea,Spill the tea about what happened after the meeting.,gossip,gossip,Spill the gossip about what happened after the meeting.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ex021,cringe,That brand response was so cringe.,embarrassing,embarrassing,That brand response was so embarrassing.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,High-confidence adjective usage
ex047,brainrot,My feed is pure exam brainrot now.,obsessive low-value fixation,obsessive low-value fixation,My feed is pure exam obsessive low-value fixation now.,,online,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ext0004,Dope,That jacket is dope.,Cool or excellent,Cool or excellent.,That jacket is Cool or excellent.,,performance,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex051,snatched,Her eyeliner looked snatched in those photos.,perfectly done,perfectly done,Her eyeliner looked perfectly done in those photos.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Appearance compliment
ex044,ick,The way he chews gives me the ick.,a feeling of sudden disgust,a feeling of sudden disgust,The way he chews gives me the a feeling of sudden disgust.,,dating_social,manual_expansion,project_manual_annotation,,high,manual_seed,Noun phrase
ex029,finna,I am finna leave once this lecture ends.,about to,about to,I am about to leave once this lecture ends.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Future marker
ex057,ate that,She ate that answer in the interview.,did that extremely well,did that extremely well,She did that extremely well answer in the interview.,,performance,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level positive evaluation
ex056,its giving,That outfit is giving early-2000s pop star.,it resembles,it resembles,That outfit resembles an early-2000s pop star.,,appearance_style,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level comparison
ex050,go off,"When he started talking about music theory, he really went off.",spoke passionately at length,spoke passionately at length,"When he started talking about music theory, he spoke passionately at length.",,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Phrase-level slang
ex036,yapping,He kept yapping during the movie.,talking too much,talking too much,He kept talking too much during the movie.,,action_event,manual_expansion,project_manual_annotation,,high,manual_seed,Verb form
ex008,ghosted,She ghosted me after our second date.,suddenly stopped replying,suddenly stopped replying,She suddenly stopped replying after our second date.,,dating_social,demo_seed,project_manual_annotation,,high,manual_seed,Action in context
ex048,aura,Missing that easy layup cost him aura.,social prestige,social prestige,Missing that easy layup cost him social prestige.,,other,manual_expansion,project_manual_annotation,,high,manual_seed,Noun usage
ext0002,Cancelled,She got cancelled after that post.,Publicly denounced and rejected,Publicly denounced and rejected.,She got Publicly denounced and rejected after that post.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,external_selected_auto,popularity=High
ex019,bet,"Bet, I will send you the notes tonight.",okay,okay,"okay, I will send you the notes tonight.",,agreement_discourse,demo_seed,project_manual_annotation,,high,manual_seed,Agreement marker
ex023,based,That was a based take in class today.,admirably bold,admirably bold,That was an admirably bold take in class today.,,judgment,manual_expansion,project_manual_annotation,,high,manual_seed,Positive evaluative slang
